"","ids","ages","calAges","ageSds","ageOffsets","depth","thickness","calCurves"
"1","coretop",0,-20,10,NA,0.5,NA,"normal"
"2","Wis- 993",245,NA,55,NA,21.5,NA,"intcal20"
"3","Wis- 994",2055,NA,65,NA,141.5,NA,"intcal20"
"4","Wis- 995",2430,NA,65,NA,166.5,NA,"intcal20"
"5","Wis- 996",4105,NA,65,NA,265,NA,"intcal20"
"6","Wis- 997",5245,NA,65,NA,336,NA,"intcal20"
"7","Wis- 998",6920,NA,75,NA,397,NA,"intcal20"
"8","Cams 78446",8590,NA,50,NA,474,NA,"intcal20"
"9","Cams 78445",9740,NA,40,NA,535,NA,"intcal20"
"10","Cams 78444",10110,NA,140,NA,550,NA,"intcal20"
"11","Cams 78443",10730,NA,50,NA,584,NA,"intcal20"
"12","Cams 78442",12580,NA,130,NA,635,NA,"intcal20"
