name,group,element,units,context,S13946,S13947,S13948,S13949,S13950,S13951,S13952,S13953,S13954,S13955,S13956,S13957,S13958,S13959,S13960,S13961,S13962,S13963,S13964,S13965,S13966,S13967,S13968,S13969,S13970,S13971,S13972,S13973,S13974,S13975,S13976,S13977,S13978,S13979,S13980,S13981,S13982,S13983,S13984,S13985,S13986,S13987,S13988,S13989,S13990,S13991,S13992,S13993,S13994,S13995,S13996,S13997,S13998,S13999,S14000,S14001,S14002,S14003,S14004,S14005,S14006,S14007,S14008,S14009,S14010,S14011,S14012,S14013,S14014,S14015,S14016,S14017,S14018,S14019,S14020,S14021,S14022,S14023,S14024,S14025,S14026,S14027,S14028,S14029,S14030,S14031,S14032,S14033,S14034,S14035,S14036,S14037,S14038,S14039,S14040,S14041,S14042,S14043,S14044,S14045,S14046,S14047,S14048,S14049,S14050,S14051,S14052,S14053,S14054,S14055,S14056,S14057,S14058,S14059,S14060,S14061,S14062,S14063,S14064,S14065,S14066,S14067
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0.5,2,9,16,19.5,22.5,31,39,46.5,54.5,62,69,76.5,83.5,90.5,97.5,104.5,111,117.5,124,130.5,137,143,149,154,160,164,169,174,179,184,189,194,199,204,209,214,219,224,229,234,239,244,249,259,263,268,273,278,283,288,293,298,303,308,313,318,330,334,339,344,349,354,359,364,369,374,379,384,389,394,399,404,409,414,419,430,434,439,444,449,454,459,464,469,474,479,484,489,494,499,504,509,514,519,524,535,540,544,550,554,560,564,568,570,574,578,580,584,588,590,596,598,600,602,603,608,613,618,623,628,633
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,13946,13947,13948,13949,13950,13951,13952,13953,13954,13955,13956,13957,13958,13959,13960,13961,13962,13963,13964,13965,13966,13967,13968,13969,13970,13971,13972,13973,13974,13975,13976,13977,13978,13979,13980,13981,13982,13983,13984,13985,13986,13987,13988,13989,13990,13991,13992,13993,13994,13995,13996,13997,13998,13999,14000,14001,14002,14003,14004,14005,14006,14007,14008,14009,14010,14011,14012,14013,14014,14015,14016,14017,14018,14019,14020,14021,14022,14023,14024,14025,14026,14027,14028,14029,14030,14031,14032,14033,14034,14035,14036,14037,14038,14039,14040,14041,14042,14043,14044,14045,14046,14047,14048,14049,14050,14051,14052,14053,14054,14055,14056,14057,14058,14059,14060,14061,14062,14063,14064,14065,14066,14067
Neotoma 1,Calibrated radiocarbon years BP,,,,22/-4/-41,34/5/-33,93/46/-1,127/87/42,142/107/69,168/134/103,399/241/145,564/351/198,702/450/262,831/559/338,943/662/419,1044/758/499,1155/859/590,1250/953/670,1343/1048/755,1439/1144/850,1538/1239/940,1617/1328/1030,1699/1418/1123,1785/1508/1216,1864/1597/1314,1941/1684/1427,2013/1767/1533,2084/1849/1648,2158/1936/1751,2266/2060/1852,2315/2145/1958,2450/2254/2044,2621/2355/2119,2759/2456/2194,2895/2557/2265,3013/2657/2337,3131/2761/2414,3244/2862/2494,3356/2964/2581,3462/3065/2682,3572/3167/2776,3671/3272/2875,3763/3380/2990,3850/3483/3092,3937/3585/3186,4028/3688/3297,4121/3794/3415,4201/3897/3537,4356/4100/3806,4408/4183/3932,4516/4287/4030,4660/4388/4106,4796/4490/4195,4916/4593/4276,5046/4698/4368,5161/4802/4458,5266/4907/4554,5364/5012/4653,5458/5117/4757,5555/5222/4866,5644/5325/4991,5838/5574/5300,5885/5654/5432,6015/5779/5552,6218/5914/5651,6420/6056/5736,6592/6202/5842,6742/6343/5947,6890/6488/6074,7029/6636/6231,7162/6780/6367,7281/6921/6513,7379/7068/6681,7470/7206/6859,7555/7343/7067,7664/7487/7278,7910/7630/7376,8120/7770/7461,8305/7913/7574,8465/8055/7683,8798/8373/7941,8898/8497/8066,9025/8641/8210,9138/8782/8372,9238/8928/8553,9331/9072/8747,9427/9209/8958,9540/9334/9107,9648/9453/9234,9745/9570/9449,9930/9699/9540,10123/9827/9602,10302/9958/9678,10457/10090/9779,10601/10219/9870,10716/10346/9980,10837/10474/10096,10948/10607/10235,11057/10738/10352,11146/10866/10507,11333/11152/10868,11566/11305/11014,11734/11431/11147,11959/11614/11305,12083/11738/11407,12292/11924/11548,12386/12047/11673,12486/12171/11801,12552/12234/11844,12613/12355/12000,12679/12476/12168,12723/12536/12230,12768/12660/12515,12990/12795/12631,13178/12862/12653,13475/13063/12769,13568/13133/12807,13680/13202/12833,13740/13272/12891,13778/13307/12914,13981/13481/13045,14180/13653/13181,14380/13825/13326,14567/13998/13479,14745/14168/13653,14921/14342/13821
PalEON-STEPPS,Calibrated radiocarbon years BP,,,,33/3/-25,43/8/-21,123/26/-15,147/54/-1,172/67/2,174/69/2,195/85/13,587/186/36,785/296/77,979/427/146,1137/557/208,1261/673/261,1369/791/349,1479/910/451,1610/1026/535,1708/1166/663,1814/1285/793,1905/1398/883,1988/1521/1013,2061/1627/1137,2147/1723/1248,2196/1823/1405,2249/1911/1557,2289/1998/1706,2347/2124/1921,2631/2314/2015,2661/2389/2168,2760/2496/2241,2975/2617/2339,3385/2715/2396,3549/2839/2456,3785/2952/2484,3897/3067/2596,3979/3187/2633,4061/3299/2711,4169/3407/2767,4237/3531/2845,4323/3643/2899,4383/3743/2998,4445/3859/3075,4493/3958/3224,4558/4062/3315,4620/4167/3504,4702/4286/3612,4799/4503/3957,4836/4580/4209,4882/4685/4445,5061/4799/4513,5303/4883/4543,5476/4967/4606,5622/5065/4658,5737/5161/4729,5809/5257/4787,5876/5358/4873,5954/5470/4948,6017/5583/5044,6086/5694/5126,6231/5946/5431,6250/6004/5674,6305/6096/5847,6536/6218/5964,6976/6308/6009,7137/6459/6089,7289/6612/6128,7399/6752/6248,7522/6895/6315,7606/7048/6465,7715/7200/6541,7799/7360/6765,7879/7556/6863,7935/7672/7230,7992/7785/7591,8146/7912/7722,8506/8008/7760,8696/8159/7841,8973/8305/7892,9373/8666/8061,9419/8805/8169,9528/8981/8247,9591/9144/8459,9663/9328/8588,9719/9460/8924,9799/9598/9182,9863/9662/9318,9968/9695/9420,10047/9727/9527,10155/9759/9614,10260/9857/9663,10528/9960/9685,10664/10076/9760,10841/10191/9797,10943/10318/9882,11064/10455/9928,11129/10593/10066,11196/10744/10134,11253/10871/10287,11359/11141/10743,11431/11265/10910,11607/11381/11059,12078/11553/11155,12149/11700/11354,12431/11894/11448,12487/12025/11559,12602/12159/11611,12713/12223/11633,12740/12352/11802,12779/12494/11928,12828/12563/11969,12843/12655/12278,12864/12751/12559,12903/12811/12621,13419/12959/12744,13630/13010/12757,13844/13060/12769,13892/13145/12827,13925/13187/12841,14163/13371/12897,14394/13550/12999,14545/13737/13080,14692/13913/13235,14849/14111/13354,14991/14272/13576
COHMAP chron 2,Radiocarbon years BP,,,,--/--/--,--/27/--,--/122/--,--/217/--,--/259/--,--/303/--,--/436/--,--/554/--,--/657/--,--/774/--,--/892/--,--/995/--,--/1098/--,--/1201/--,--/1304/--,--/1407/--,--/1510/--,--/1613/--,--/1701/--,--/1804/--,--/1893/--,--/1996/--,--/2084/--,--/2174/--,--/2249/--,--/2339/--,--/2399/--,--/2480/--,--/2565/--,--/2649/--,--/2734/--,--/2819/--,--/2903/--,--/2988/--,--/3072/--,--/3157/--,--/3242/--,--/3326/--,--/3411/--,--/3495/--,--/3580/--,--/3665/--,--/3749/--,--/3834/--,--/4003/--,--/4071/--,--/4153/--,--/4233/--,--/4313/--,--/4394/--,--/4474/--,--/4554/--,--/4634/--,--/4715/--,--/4795/--,--/4875/--,--/4955/--,--/5148/--,--/5212/--,--/5327/--,--/5464/--,--/5601/--,--/5739/--,--/5876/--,--/6013/--,--/6151/--,--/6288/--,--/6425/--,--/6563/--,--/6700/--,--/6837/--,--/6977/--,--/7120/--,--/7263/--,--/7407/--,--/7550/--,--/7865/--,--/7980/--,--/8123/--,--/8267/--,--/8410/--,--/8553/--,--/8688/--,--/8810/--,--/8932/--,--/9054/--,--/9176/--,--/9298/--,--/9421/--,--/9543/--,--/9665/--,--/9787/--,--/9909/--,--/10031/--,--/10139/--,--/10239/--,--/10459/--,--/10559/--,--/10653/--,--/10852/--,--/10986/--,--/11185/--,--/11318/--,--/11451/--,--/11518/--,--/11651/--,--/11784/--,--/11851/--,--/11984/--,--/12117/--,--/12183/--,--/12383/--,--/12450/--,--/12516/--,--/12583/--,--/12616/--,--/12782/--,--/12949/--,--/13115/--,--/13282/--,--/13448/--,--/13614/--
Abies,TRSH,pollen,NISP,,,,,,,,,1,,1,,,1,,,2,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,1,1,,,1,,,,1,1,,1,,,2,1,1,,1,24,9,20,29,44,68,20,25,24,16,26,13,23,26,30,22,16,18,14,2,5,1,5,2,1,,1,3,3,
Acer,TRSH,pollen,NISP,,5,5,2,1,5,1,12,4,2,3,5,,1,1,8,4,1,5,2,2,6,3,15,2,2,6,2,3,3,11,,2,8,3,4,7,5,3,2,5,1,11,1,3,2,3,3,5,5,2,7,10,4,10,15,8,11,14,18,33,24,49,29,30,35,31,21,29,25,25,11,25,12,39,17,21,23,34,25,19,40,29,17,20,32,12,34,41,19,25,27,19,82,13,5,5,11,4,6,4,3,2,3,,2,5,,3,2,4,2,,2,2,3,,4,1,6,13,15,2
